2024-04-26 11:28:39,544 - INFO - collecting all words and their counts
2024-04-26 11:28:39,544 - INFO - PROGRESS: at sentence #0, processed 0 words, keeping 0 word types
2024-04-26 11:28:39,614 - INFO - PROGRESS: at sentence #10000, processed 769775 words, keeping 23416 word types
2024-04-26 11:28:39,706 - INFO - PROGRESS: at sentence #20000, processed 1927639 words, keeping 37033 word types
2024-04-26 11:28:39,792 - INFO - PROGRESS: at sentence #30000, processed 3085030 words, keeping 47111 word types
2024-04-26 11:28:39,876 - INFO - PROGRESS: at sentence #40000, processed 4244396 words, keeping 55153 word types
2024-04-26 11:28:39,975 - INFO - PROGRESS: at sentence #50000, processed 5408301 words, keeping 62578 word types
2024-04-26 11:28:40,075 - INFO - PROGRESS: at sentence #60000, processed 6573422 words, keeping 69359 word types
2024-04-26 11:28:40,162 - INFO - PROGRESS: at sentence #70000, processed 7743595 words, keeping 75720 word types
2024-04-26 11:28:40,253 - INFO - PROGRESS: at sentence #80000, processed 8916134 words, keeping 81851 word types
2024-04-26 11:28:40,360 - INFO - PROGRESS: at sentence #90000, processed 10079577 words, keeping 87639 word types
2024-04-26 11:28:40,447 - INFO - PROGRESS: at sentence #100000, processed 11242717 words, keeping 92946 word types
2024-04-26 11:28:40,536 - INFO - PROGRESS: at sentence #110000, processed 12405741 words, keeping 98222 word types
2024-04-26 11:28:40,640 - INFO - PROGRESS: at sentence #120000, processed 13595295 words, keeping 103424 word types
2024-04-26 11:28:40,727 - INFO - PROGRESS: at sentence #130000, processed 14754749 words, keeping 108237 word types
2024-04-26 11:28:40,814 - INFO - PROGRESS: at sentence #140000, processed 15924603 words, keeping 112847 word types
2024-04-26 11:28:40,917 - INFO - PROGRESS: at sentence #150000, processed 17079572 words, keeping 117410 word types
2024-04-26 11:28:40,949 - INFO - collected 119089 word types from a corpus of 17530377 raw words and 153841 sentences
2024-04-26 11:28:40,949 - INFO - Creating a fresh vocabulary
2024-04-26 11:28:41,037 - INFO - Word2Vec lifecycle event {'msg': 'effective_min_count=3 retains 41078 unique words (34.49% of original 119089, drops 78011)', 'datetime': '2024-04-26T11:28:41.026488', 'gensim': '4.3.2', 'python': '3.9.19 (main, Mar 21 2024, 17:21:27) [MSC v.1916 64 bit (AMD64)]', 'platform': 'Windows-10-10.0.22631-SP0', 'event': 'prepare_vocab'}
2024-04-26 11:28:41,037 - INFO - Word2Vec lifecycle event {'msg': 'effective_min_count=3 leaves 17439026 word corpus (99.48% of original 17530377, drops 91351)', 'datetime': '2024-04-26T11:28:41.037547', 'gensim': '4.3.2', 'python': '3.9.19 (main, Mar 21 2024, 17:21:27) [MSC v.1916 64 bit (AMD64)]', 'platform': 'Windows-10-10.0.22631-SP0', 'event': 'prepare_vocab'}
2024-04-26 11:28:41,137 - INFO - deleting the raw counts dictionary of 119089 items
2024-04-26 11:28:41,137 - INFO - sample=0.001 downsamples 52 most-common words
2024-04-26 11:28:41,137 - INFO - Word2Vec lifecycle event {'msg': 'downsampling leaves estimated 12271228.653658632 word corpus (70.4%% of prior 17439026)', 'datetime': '2024-04-26T11:28:41.137531', 'gensim': '4.3.2', 'python': '3.9.19 (main, Mar 21 2024, 17:21:27) [MSC v.1916 64 bit (AMD64)]', 'platform': 'Windows-10-10.0.22631-SP0', 'event': 'prepare_vocab'}
2024-04-26 11:28:41,272 - INFO - estimated required memory for 41078 words and 300 dimensions: 119126200 bytes
2024-04-26 11:28:41,272 - INFO - resetting layer weights
2024-04-26 11:28:41,303 - INFO - Word2Vec lifecycle event {'update': False, 'trim_rule': 'None', 'datetime': '2024-04-26T11:28:41.303930', 'gensim': '4.3.2', 'python': '3.9.19 (main, Mar 21 2024, 17:21:27) [MSC v.1916 64 bit (AMD64)]', 'platform': 'Windows-10-10.0.22631-SP0', 'event': 'build_vocab'}
2024-04-26 11:28:41,303 - INFO - Word2Vec lifecycle event {'msg': 'training model with 8 workers on 41078 vocabulary and 300 features, using sg=1 hs=0 sample=0.001 negative=5 window=10 shrink_windows=True', 'datetime': '2024-04-26T11:28:41.303930', 'gensim': '4.3.2', 'python': '3.9.19 (main, Mar 21 2024, 17:21:27) [MSC v.1916 64 bit (AMD64)]', 'platform': 'Windows-10-10.0.22631-SP0', 'event': 'train'}
2024-04-26 11:28:42,324 - INFO - EPOCH 0 - PROGRESS: at 6.22% examples, 500371 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:28:43,344 - INFO - EPOCH 0 - PROGRESS: at 10.51% examples, 511723 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:28:44,348 - INFO - EPOCH 0 - PROGRESS: at 14.64% examples, 512711 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:28:45,353 - INFO - EPOCH 0 - PROGRESS: at 18.87% examples, 514854 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:28:46,373 - INFO - EPOCH 0 - PROGRESS: at 23.13% examples, 517606 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:28:47,377 - INFO - EPOCH 0 - PROGRESS: at 27.39% examples, 518607 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:28:48,397 - INFO - EPOCH 0 - PROGRESS: at 31.71% examples, 520311 words/s, in_qsize 16, out_qsize 0
2024-04-26 11:28:49,403 - INFO - EPOCH 0 - PROGRESS: at 35.98% examples, 521122 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:28:50,424 - INFO - EPOCH 0 - PROGRESS: at 40.11% examples, 520291 words/s, in_qsize 16, out_qsize 0
2024-04-26 11:28:51,428 - INFO - EPOCH 0 - PROGRESS: at 44.43% examples, 521969 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:28:52,433 - INFO - EPOCH 0 - PROGRESS: at 48.53% examples, 522167 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:28:53,437 - INFO - EPOCH 0 - PROGRESS: at 52.58% examples, 521112 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:28:54,442 - INFO - EPOCH 0 - PROGRESS: at 56.87% examples, 521953 words/s, in_qsize 16, out_qsize 0
2024-04-26 11:28:55,465 - INFO - EPOCH 0 - PROGRESS: at 61.13% examples, 521798 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:28:56,467 - INFO - EPOCH 0 - PROGRESS: at 65.26% examples, 521548 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:28:57,488 - INFO - EPOCH 0 - PROGRESS: at 69.59% examples, 522125 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:28:58,492 - INFO - EPOCH 0 - PROGRESS: at 73.70% examples, 521694 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:28:59,496 - INFO - EPOCH 0 - PROGRESS: at 77.78% examples, 521703 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:00,520 - INFO - EPOCH 0 - PROGRESS: at 81.87% examples, 520719 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:01,522 - INFO - EPOCH 0 - PROGRESS: at 85.92% examples, 520056 words/s, in_qsize 16, out_qsize 0
2024-04-26 11:29:02,552 - INFO - EPOCH 0 - PROGRESS: at 90.26% examples, 520265 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:03,580 - INFO - EPOCH 0 - PROGRESS: at 94.45% examples, 520148 words/s, in_qsize 16, out_qsize 0
2024-04-26 11:29:04,582 - INFO - EPOCH 0 - PROGRESS: at 98.60% examples, 520050 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:04,909 - INFO - EPOCH 0: training on 17530377 raw words (12273091 effective words) took 23.6s, 520228 effective words/s
2024-04-26 11:29:05,930 - INFO - EPOCH 1 - PROGRESS: at 6.45% examples, 518523 words/s, in_qsize 16, out_qsize 0
2024-04-26 11:29:06,941 - INFO - EPOCH 1 - PROGRESS: at 10.79% examples, 528075 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:07,949 - INFO - EPOCH 1 - PROGRESS: at 15.12% examples, 532228 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:08,950 - INFO - EPOCH 1 - PROGRESS: at 19.42% examples, 531377 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:09,963 - INFO - EPOCH 1 - PROGRESS: at 23.72% examples, 531307 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:10,974 - INFO - EPOCH 1 - PROGRESS: at 27.99% examples, 531035 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:11,981 - INFO - EPOCH 1 - PROGRESS: at 31.91% examples, 525764 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:13,012 - INFO - EPOCH 1 - PROGRESS: at 36.19% examples, 524571 words/s, in_qsize 15, out_qsize 0
2024-04-26 11:29:14,018 - INFO - EPOCH 1 - PROGRESS: at 40.48% examples, 525357 words/s, in_qsize 16, out_qsize 0
